model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
424,424100413849709910424,"66.5,70,69.5,74.5,75.5,75,76.5,78",17.2,68.13,84.07,GMCC SZ65F1H,28,1
424,424100413849709890424,"62,70,76,78,76.5",17.4,68.51,84.46,GMCC SZ65F1H,28,1
424,424100413849709720424,"66,70,72.5,71.5,74,73.5",17.4,68.51,84.46,GMCC SZ65F1H,28,1
424,424100413849710320424,"81,81.5,80.5,79,77,76,74.5",15.9,65.65,81.52,GMCC SZ65F1H,28,1
424,424100413849710580424,"65,68.5,73.5,78,79.5,78.5,79,79.5,80.5,80",20.1,73.66,89.75,GMCC SZ65F1H,28,1
424,424100413849919340424,"69.5,72,78,80,81,82.5,81.5",19.7,72.9,88.97,GMCC SZ65F1H,28,1
424,424100413849678980424,"65,69.5,75.5,77.5,78.5,79.5,80.5,82.5",21.0,75.38,91.52,GMCC SZ65F1H,28,1
424,424100413849679470424,"70,76,77,79,78.5,78,81.5,82",21.0,75.38,91.52,GMCC SZ65F1H,28,1
424,424100413849919770424,"65,71,76.5,78,79.5,79,81,79.5",19.8,73.09,89.16,GMCC SZ65F1H,28,1
424,424100413849709990424,"69,72.5,73,74.5,75,76,76.5",17.2,68.13,84.07,GMCC SZ65F1H,28,1
424,424100413849710170424,"66,73.5,75,76.5,76,75.5,76.5,77",17.0,67.75,83.67,GMCC SZ65F1H,28,1
424,424100413849710200424,"61.5,64,71.5,74,72.5,73.5,75.5,75",16.9,67.56,83.48,GMCC SZ65F1H,28,1
424,424100413849710230424,"62.5,64.5,70,72.5,77,77.5,78.5,75,79",16.9,67.56,83.48,GMCC SZ65F1H,28,1
424,424100413849710300424,"63,67,71.5,74,73.5,78,76.5,78",16.2,66.22,82.1,GMCC SZ65F1H,28,1
424,424100413849710310424,"66.5,71.5,75.5,77,75,76,76.5,75.5",16.0,65.84,81.71,GMCC SZ65F1H,28,1
424,424100413849710340424,"65.5,70,74.5,73.5,75.5,76.5,74.5",15.9,65.65,81.52,GMCC SZ65F1H,28,1
424,424100413849710350424,"77,75.5,77,73.5,74,73,71",15.7,65.27,81.12,GMCC SZ65F1H,28,1
424,424100413849710380424,"77,75.5,76.5,75,73.5,72.5,73,70",15.9,65.65,81.52,GMCC SZ65F1H,28,1
424,424100413849710480424,"66.5,72,77.5,76.5,79,80.5,81.5,82",20.1,73.66,89.75,GMCC SZ65F1H,28,1
424,424100413849710520424,"69,70.5,72,77.5,79.5,80.5,81.5,83.5,84,84.5,83.5",20.1,73.66,89.75,GMCC SZ65F1H,28,1
424,424100413849710570424,"70,73.5,75.5,74,72,73.5,74.5,74",16.2,66.22,82.1,GMCC SZ65F1H,28,1
424,424100413849710860424,"65.5,70.5,75.5,76,79.5,80.5,82,82.5,84,86",21.8,76.91,93.09,GMCC SZ65F1H,28,1
424,424100413849920000424,"69.5,73.5,75.5,78.5,79.5,80,81,80.5",19.6,72.71,88.77,GMCC SZ65F1H,28,1
424,424100413849919360424,"73,77,81.5,79.5,81,81.5,82.5,81",19.6,72.71,88.77,GMCC SZ65F1H,28,1
424,424100413849919380424,"67,74.5,75,77,78.5,79.5,80,80.5,81.5",19.7,72.9,88.97,GMCC SZ65F1H,28,1
424,424100413849710330424,"79.5,75,72,70,71.5,69.5",15.8,65.46,81.32,GMCC SZ65F1H,28,1
424,424100413849920450424,"75.5,76,75,76,75.5,74",17.8,69.28,85.24,GMCC SZ65F1H,28,1
424,424100413849920370424,"62,66.5,71.5,74,76,77.5,78",17.8,69.28,85.24,GMCC SZ65F1H,28,1
424,424100413849920320424,"71,74,76.5,77,78.5,80.5,79.5,80.5,82",18.1,69.85,85.83,GMCC SZ65F1H,28,1
424,424100413849920310424,"73.5,76.5,75,77,77.5,79,80,78.5",17.9,69.47,85.44,GMCC SZ65F1H,28,1
424,424100413849920290424,"70,72.5,77,79,81,82.5,81.5",18.4,70.42,86.42,GMCC SZ65F1H,28,1
424,424100413849920260424,"65.5,69.5,75,76.5,79.5,80,80.5",18.8,71.18,87.2,GMCC SZ65F1H,28,1
424,424100413849920250424,"66,72,78,76.5,78.5,77.5,80.5,79.5",18.5,70.61,86.62,GMCC SZ65F1H,28,1
424,424100413849920240424,"67.5,75.5,78.5,80,81.5,83,82.5,83",19.6,72.71,88.77,GMCC SZ65F1H,28,1
424,424100413849920220424,"69,73.5,79,78.5,80,81.5,81",18.8,71.18,87.2,GMCC SZ65F1H,28,1
424,424100413849920200424,"69.5,73,76.5,77.5,79,80.5,79",18.6,70.8,86.81,GMCC SZ65F1H,28,1
424,424100413849920190424,"68.5,71,77,77.5,79.5,78",18.5,70.61,86.62,GMCC SZ65F1H,28,1
424,424100413849920180424,"71.5,74.5,77.5,79,79.5,81.5,81",18.4,70.42,86.42,GMCC SZ65F1H,28,1
