model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
411,411100243149263710411,"50,50.5,50,58,55,55.5,56,55.5,55",18.5,47.42,63.12,GMCC SZ59C1H,15,1
411,411100243149263680411,"45,46.5,49,51,52.5,51.5,52.5,52,52.5",18.4,47.32,63.02,GMCC SZ59C1H,15,1
411,411100243149263670411,"47.5,54,52.5,54.5,55,54,55,56",18.5,47.42,63.12,GMCC SZ59C1H,15,1
411,411100243149263650411,"46.5,49.5,54,55.5,55,54.5,55",18.4,47.32,63.02,GMCC SZ59C1H,15,1
411,411100243149263640411,"46,46.5,50.5,53.5,55,56,54,55",18.4,47.32,63.02,GMCC SZ59C1H,15,1
411,411100243149263630411,"48,51.5,53,53.5,55,54.5,54,56",18.5,47.42,63.12,GMCC SZ59C1H,15,1
411,411100243149263590411,"47,51,53,54.5,55,54.5,55",18.7,47.63,63.34,GMCC SZ59C1H,15,1
411,411100243149263580411,"49,49.5,51.5,54.5,55.5,56,56.5,57.5,56.5,57,57.5",18.5,47.42,63.12,GMCC SZ59C1H,15,1
411,411100243149263570411,"47,50.5,52.5,55,55.5",18.6,47.53,63.23,GMCC SZ59C1H,15,1
411,411100243149263520411,"46.5,49,52,52.5,53.5,52.5",18.8,47.73,63.45,GMCC SZ59C1H,15,1
411,411100243149263500411,"47.5,52,54.5,55.5,55,56.5,55.5",18.6,47.53,63.23,GMCC SZ59C1H,15,1
411,411100243149263460411,"45,49,49.5,51.5,52.5,52,52.5,51.5,53",18.8,47.73,63.45,GMCC SZ59C1H,15,1
411,411100243149263400411,"41.5,44.5,47,48,47.5,48,49.5",15.7,44.56,60.1,GMCC SZ59C1H,15,1
411,411100243149263390411,"42.5,44.5,46,46.5,47.5,48.5,48",15.7,44.56,60.1,GMCC SZ59C1H,15,1
411,411100243149263360411,"48,52.5,54.5,54,55,53.5,54",15.8,44.66,60.21,GMCC SZ59C1H,15,1
411,411100243149263350411,"43.5,46,48,47.5,46.5,48.5,48,48.5,47.5,47",15.7,44.56,60.1,GMCC SZ59C1H,15,1
411,411100243149263330411,"44,48.5,49,49.5,50,50.5,50",15.7,44.56,60.1,GMCC SZ59C1H,15,1
411,411100243149263290411,"47,50,53.5,54.5,54,55,54.5,54",16.1,44.97,60.54,GMCC SZ59C1H,15,1
411,411100243149263280411,"47,51,54,54.5,55.5,55,54.5",15.9,44.76,60.32,GMCC SZ59C1H,15,1
411,411100243149263270411,"46.5,54.5",16.9,45.79,61.4,GMCC SZ59C1H,15,1
411,411100243149263550411,"45,47.5,47,50,51,51.5,52,53,52,52.5,53,52.5",18.6,47.53,63.23,GMCC SZ59C1H,15,1
411,411100243149263260411,"47,51,53,54,53,54,52,54.5",16.0,44.87,60.43,GMCC SZ59C1H,15,1
411,411100243149263250411,"47,47.5,51,49.5,52,55.5,55,55.5",16.0,44.87,60.43,GMCC SZ59C1H,15,1
411,411100243149263230411,"48.5,52.5,53,53.5,55.5,55,54.5",16.0,44.87,60.43,GMCC SZ59C1H,15,1
411,411100243149263210411,"48,51.5,55,55.5,56,55.5,55",16.3,45.17,60.75,GMCC SZ59C1H,15,1
411,411100243149263190411,"46,49.5,53.5,53,54,54.5,53.5",16.0,44.87,60.43,GMCC SZ59C1H,15,1
411,411100243149263170411,"52,49,49.5,52,53.5,55,55.5,55,54.5",16.1,44.97,60.54,GMCC SZ59C1H,15,1
411,411100243149263060411,"47,50,52,55,54.5,55,55.5,56",16.9,45.79,61.4,GMCC SZ59C1H,15,1
411,411100243149263000411,"52,51,53.5,55.5,55",16.7,45.58,61.18,GMCC SZ59C1H,15,1
411,411100243149262990411,"48,49,50.5,51,52,53.5,52.5,51.5,53",16.8,45.68,61.29,GMCC SZ59C1H,15,1
411,411100243149262970411,"49.5,52,54.5,54,55,54.5,55,54.5,55,54.5",16.7,45.58,61.18,GMCC SZ59C1H,15,1
411,411100243149262950411,"46.5,50.5,51.5,52.5,53,54,53.5,52",16.8,45.68,61.29,GMCC SZ59C1H,15,1
411,411100243149263620411,"48,54,54.5,55.5,55,54.5,56",18.4,47.32,63.02,GMCC SZ59C1H,15,1
411,411100243149262930411,"46.5,51.5,55,56.5,56,55,55.5,55",16.9,45.79,61.4,GMCC SZ59C1H,15,1
411,411100243149262910411,"45.5,50.5,51,52,53,52.5,53,52.5",16.9,45.79,61.4,GMCC SZ59C1H,15,1
411,411100243149262900411,"47.5,52.5,57,57.5,56.5,56,55,57",16.9,45.79,61.4,GMCC SZ59C1H,15,1
411,411100243149262880411,"44.5,51.5,52,51.5,51,54,53",17.1,45.99,61.61,GMCC SZ59C1H,15,1
411,411100243149262870411,"44.5,47,48.5,51.5,52.5,53.5,54.5",17.1,45.99,61.61,GMCC SZ59C1H,15,1
411,411100243149262860411,"47.5,50.5,53,54,55,54",17.0,45.89,61.51,GMCC SZ59C1H,15,1
411,411100243149262830411,"47,51,56,56.5,58,56.5,57",17.1,45.99,61.61,GMCC SZ59C1H,15,1
411,411100243149262820411,"46,49,55.5,51.5,50,51.5,51,49.5",17.1,45.99,61.61,GMCC SZ59C1H,15,1
411,411100243149262810411,"49,51,56.5,57,58,57.5,57,58",17.2,46.09,61.72,GMCC SZ59C1H,15,1
411,411100243149262770411,"46,50,52.5,53.5,54.5,54",17.1,45.99,61.61,GMCC SZ59C1H,15,1
411,411100243149262700411,"47,49.5,50.5,52,52.5,54,53.5",18.1,47.01,62.69,GMCC SZ59C1H,15,1
411,411100243149262660411,"45.5,48.5,50,52,54,54.5,53",18.1,47.01,62.69,GMCC SZ59C1H,15,1
411,411100243149262650411,"47.5,49.5,51,53,54,54.5",18.1,47.01,62.69,GMCC SZ59C1H,15,1
411,411100243149262640411,"46.5,48.5,52.5,52,52.5,53.5,53,53.5",18.1,47.01,62.69,GMCC SZ59C1H,15,1
411,411100243149262620411,"46.5,53.5,54.5,56,55,54,56",18.2,47.12,62.8,GMCC SZ59C1H,15,1
411,411100243149262590411,"47.5,53,54.5,53.5,55,55.5,54",18.2,47.12,62.8,GMCC SZ59C1H,15,1
411,411100243149262570411,"45,49,55,52.5,53.5,55.5,55,57.5,57",18.6,47.53,63.23,GMCC SZ59C1H,15,1
411,411100243149262560411,"47,50.5,52,53,53.5,54,54.5,54,54.5,55.5",18.2,47.12,62.8,GMCC SZ59C1H,15,1
411,411100243149263300411,"45.5,49,50,53,53.5,52.5,53,51.5",16.3,45.17,60.75,GMCC SZ59C1H,15,1
411,411100243149262550411,"48,52,52.5,56,57.5,57,56.5,55,56.5",18.3,47.22,62.91,GMCC SZ59C1H,15,1
411,411100243149262540411,"50.5,53.5,57,57.5,60,57,57.5",18.4,47.32,63.02,GMCC SZ59C1H,15,1
411,411100243149262490411,"48,56.5,55.5,56,58.5,57.5,57,56.5",18.6,47.53,63.23,GMCC SZ59C1H,15,1
411,411100243149262470411,"48.5,49,53.5,53,52.5,52,52.5,53,52.5,52",18.7,47.63,63.34,GMCC SZ59C1H,15,1
411,411100243149262460411,"46,53.5,54.5,54,53.5,54,55",18.9,47.83,63.55,GMCC SZ59C1H,15,1
411,411100243149262430411,"48.5,55,56,56.5,55.5,55,56",18.9,47.83,63.55,GMCC SZ59C1H,15,1
411,411100243149262840411,"47,51.5,54,55.5,57,56.5,56",18.7,47.63,63.34,GMCC SZ59C1H,15,1
411,411100243149262420411,"46.5,53.5,55,55.5,56,55,56",18.9,47.83,63.55,GMCC SZ59C1H,15,1
411,411100243149262410411,"52,54.5,56,56.5,57,56",19.8,48.75,64.53,GMCC SZ59C1H,15,1
411,411100243149262400411,"50,53.5,54.5,56,56.5,55.5,56,56.5,57,57.5",18.9,47.83,63.55,GMCC SZ59C1H,15,1
411,411100243149262390411,"47.5,50,53,55.5,56,56.5",18.9,47.83,63.55,GMCC SZ59C1H,15,1
411,411100243149262370411,"49.5,54.5,55.5,56,58,57.5,58",19.0,47.94,63.66,GMCC SZ59C1H,15,1
411,411100243149262250411,"47.5,52,54,53,54,54.5,55,55.5,55,56,57",19.6,48.55,64.31,GMCC SZ59C1H,15,1
411,411100243149262240411,"49,52.5,53,56,55.5,55,56,55.5",19.7,48.65,64.42,GMCC SZ59C1H,15,1
411,411100243149262230411,"53,54,55.5,57.5,58,59.5",19.8,48.75,64.53,GMCC SZ59C1H,15,1
411,411100243149262220411,"46.5,54.5,57,57.5,56,58,57.5,57",19.8,48.75,64.53,GMCC SZ59C1H,15,1
411,411100243149262190411,"48.5,52,54,56,56.5,58,57.5,58,58.5",20.1,49.06,64.85,GMCC SZ59C1H,15,1
411,411100243149262170411,"48.5,57.5,58,59",19.8,48.75,64.53,GMCC SZ59C1H,15,1
411,411100243149262120411,"48.5,58.5,58,57.5,57,57.5,58",20.0,48.96,64.74,GMCC SZ59C1H,15,1
411,411100243149262100411,"51.5,56,54.5,55,56,57.5,58,58.5",20.1,49.06,64.85,GMCC SZ59C1H,15,1
411,411100243149262080411,"48.5,53,54.5,57,57.5,57,58.5,57",20.2,49.16,64.96,GMCC SZ59C1H,15,1
411,411100243149263340411,"44,47,49.5,50.5,50",15.7,44.56,60.1,GMCC SZ59C1H,15,1
411,411100243149262050411,"48.5,47,48.5,51.5,54.5,56,57.5,56.5,55.5,56",20.2,49.16,64.96,GMCC SZ59C1H,15,1
411,411100243149262030411,"51,55.5,57.5,59.5,60.5,61",20.2,49.16,64.96,GMCC SZ59C1H,15,1
411,411100243149262020411,"51,55.5,56.5,60,59.5,57.5,58.5,61",20.3,49.27,65.06,GMCC SZ59C1H,15,1
411,411100243149261980411,"55,59,60.5,61,61.5,61,61.5,62",20.4,49.37,65.17,GMCC SZ59C1H,15,1
411,411100243149261960411,"48.5,52,55,56,57,57.5,57,57.5",20.4,49.37,65.17,GMCC SZ59C1H,15,1
411,411100243149261860411,"48,54,56.5,57.5,58.5,57.5,58,59,58.5",20.2,49.16,64.96,GMCC SZ59C1H,15,1
411,411100243149261850411,"52,54.5,57.5,59,58,57.5",20.0,48.96,64.74,GMCC SZ59C1H,15,1
411,411100243149261840411,"52,55.5,59,59.5,61,60",20.0,48.96,64.74,GMCC SZ59C1H,15,1
411,411100243149261820411,"48,53,56,56.5,57,58.5,58.5",20.0,48.96,64.74,GMCC SZ59C1H,15,1
411,411100243149262480411,"46.5,49.5,52,55.5,57,56.5,55.5,56.5,57.5",20.2,49.16,64.96,GMCC SZ59C1H,15,1
411,411100243149261810411,"51.5,57,55.5,57,56.5,56,58.5,57,58",20.0,48.96,64.74,GMCC SZ59C1H,15,1
