model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
422,422100304949722910422,"75.5,68.5,76,74,73.5,75,75.5,76",17.6,66.31,82.76,GMCC SZ65F1H,26,1
422,422100304949723340422,"68,71,70.5,70,71,72.5,72",16.8,65.35,81.77,GMCC SZ65F1H,26,1
422,422100304949722780422,"68,73,75.5,74,77,78,77.5",19.1,68.13,84.6,GMCC SZ65F1H,26,1
422,422100304949723290422,"66,71,74,73,74.5,75,73,73.5",17.0,65.59,82.02,GMCC SZ65F1H,26,1
422,422100304949723260422,"63.5,72,72.5,75.5,77,79.5,80,78.5,78",17.0,65.59,82.02,GMCC SZ65F1H,26,1
422,422100304949725880422,"65,66,67.5,68.5,71,73.5,74,75.5,77",21.5,71.03,87.56,GMCC SZ65F1H,26,1
422,422100304949721890422,"67.5,71,74,76.5,77,78.5,79,78.5",19.6,68.73,85.22,GMCC SZ65F1H,26,1
422,422100304949723570422,"65,73,74.5,77,78.5,78,79,79.5,81.5",21.5,71.03,87.56,GMCC SZ65F1H,26,1
422,422100304949723330422,"64.5,67.5,69,71,72.5,72,72.5,72",16.8,65.35,81.77,GMCC SZ65F1H,26,1
422,422100304949721640422,"65.5,66.5,69,74.5,74,75,75.5",19.7,68.85,85.34,GMCC SZ65F1H,26,1
422,422100304949724190422,"68.5,73,79,81.5,79.5,80.5,81.5,81",21.3,70.79,87.31,GMCC SZ65F1H,26,1
422,422100304949723320422,"62,64.5,68,71,73,73.5,74.5,74",17.0,65.59,82.02,GMCC SZ65F1H,26,1
422,422100304949722410422,"70.5,73.5,77.5,74.5,78,80.5",19.6,68.73,85.22,GMCC SZ65F1H,26,1
422,422100304949722620422,"74,77,80.5,81.5,80.5,85,82.5",19.5,68.61,85.1,GMCC SZ65F1H,26,1
422,422100304949722450422,"63,70.5,71,73.5,75,75.5,76,75.5,77",18.8,67.76,84.23,GMCC SZ65F1H,26,1
422,422100304949723250422,"64,69.5,74,71.5,73,73.5,73",17.0,65.59,82.02,GMCC SZ65F1H,26,1
422,422100304949723270422,"68,69.5,73,75,73.5,76,77",16.9,65.47,81.89,GMCC SZ65F1H,26,1
422,422100304949723300422,"62,66,72,74,75,73.5,76.5,76",17.0,65.59,82.02,GMCC SZ65F1H,26,1
422,422100304949723310422,"64,66,70,72.5,73.5,73,73.5,72",16.9,65.47,81.89,GMCC SZ65F1H,26,1
422,422100304949723350422,"61,67.5,69,69.5,68.5,69.5,71.5,70",16.7,65.23,81.65,GMCC SZ65F1H,26,1
422,422100304949723360422,"64,67,69,68.5,70.5,72,73.5,72",16.7,65.23,81.65,GMCC SZ65F1H,26,1
422,422100304949723380422,"61,64.5,67.5,72,68.5,71.5,73,71.5",16.5,64.98,81.4,GMCC SZ65F1H,26,1
422,422100304949723370422,"65,68.5,70,72,72.5,73,72.5",16.9,65.47,81.89,GMCC SZ65F1H,26,1
422,422100304949722470422,"66,71.5,75,75.5,76.5,79,78",19.6,68.73,85.22,GMCC SZ65F1H,26,1
422,422100304949723930422,"64,67.5,68,72,73,75,77,76",21.1,70.54,87.07,GMCC SZ65F1H,26,1
422,422100304949724160422,"66.5,68.5,69.5,70.5,70,72,73,71.5",21.4,70.91,87.44,GMCC SZ65F1H,26,1
422,422100304949724630422,"72,71.5,72.5,74,76.5,80.5,81,79.5,81,82",21.3,70.79,87.31,GMCC SZ65F1H,26,1
422,422100304949725890422,"65.5,71.5,72,73.5,76.5,77,77.5,76.5",20.4,69.7,86.2,GMCC SZ65F1H,26,1
422,422100304949725280422,"62.5,68.5,72.5,73,75,75.5,77,76.5",21.4,70.91,87.44,GMCC SZ65F1H,26,1
422,422100304949725250422,"69.5,69.5,70,70,76.5,76.5,80,80,80.5,80.5,81,81,0.5,0.5,82.5,82.5,81.5,81.5",21.5,71.03,87.56,GMCC SZ65F1H,26,1
422,422100304949725230422,"63.5,66.5,70.5,77,77.5,78,76.5,77.5",20.2,69.46,85.96,GMCC SZ65F1H,26,1
422,422100304949725210422,"69,73.5,74,75.5,74,76,77,76.5,77.5",21.4,70.91,87.44,GMCC SZ65F1H,26,1
422,422100304949725180422,"63.5,67.5,70.5,73,74.5,74,75.5,73.5,74.5",21.5,71.03,87.56,GMCC SZ65F1H,26,1
422,422100304949725170422,"66,69.5,75.5,76,78,79,82.5,83,82.5",21.5,71.03,87.56,GMCC SZ65F1H,26,1
